DATE,POS,NAME,TEAM,H/A,OPP,FANDUEL_AST_LINE,FANDUEL_ASTUNDER,FANDUEL_ASTOVER
12/6/2024,G,Trae Young,Hawks,vs,Lakers,13.5,-136,102
12/6/2024,F,LeBron James,Lakers,@,Hawks,9.5,102,-136
12/6/2024,G,Tyrese Haliburton,Pacers,@,Bulls,9.5,-132,108
12/6/2024,G,Chris Paul,Spurs,vs,Kings,8.5,-120,-102
12/6/2024,F,Paul George,76ers,vs,Magic,6.5,110,-146
12/6/2024,G,Keyonte George,Jazz,@,Blazers,5.5,100,-122
12/6/2024,G,Josh Giddey,Bulls,vs,Pacers,5.5,116,-142
12/6/2024,G,Jrue Holiday,Celtics,vs,Bucks,6.5,116,-154
12/6/2024,F,Jalen Johnson,Hawks,vs,Lakers,5.5,-146,110
12/6/2024,F,Franz Wagner,Magic,@,76ers,5.5,108,-144
12/6/2024,G,Stephen Curry,Warriors,vs,Timberwolves,5.5,104,-128
12/6/2024,G,De'Aaron Fox,Kings,@,Spurs,5.5,-128,104
12/6/2024,F,Draymond Green,Warriors,vs,Timberwolves,5.5,-115,-105
12/6/2024,G,Damian Lillard,Bucks,@,Celtics,5.5,-112,-118
12/6/2024,G,Malik Monk,Kings,@,Spurs,5.5,-144,118
12/6/2024,C,Domantas Sabonis,Kings,@,Spurs,5.5,-110,-112
12/6/2024,G,Anfernee Simons,Blazers,vs,Jazz,5.5,-122,100
12/6/2024,F,Giannis Antetokounmpo,Bucks,@,Celtics,4.5,104,-138
12/6/2024,G,Stephon Castle,Spurs,vs,Kings,4.5,-118,-104
12/6/2024,G,Mike Conley,Timberwolves,@,Warriors,4.5,-110,-110
12/6/2024,C,Anthony Davis,Lakers,@,Hawks,4.5,-158,118
12/6/2024,F,DeMar DeRozan,Kings,@,Spurs,3.5,112,-140
12/6/2024,F,Ayo Dosunmu,Bulls,vs,Pacers,4.5,-154,126
12/6/2024,G,Anthony Edwards,Timberwolves,@,Warriors,3.5,126,-154
12/6/2024,F,Zach LaVine,Bulls,vs,Pacers,3.5,116,-142
12/6/2024,F,Julius Randle,Timberwolves,@,Warriors,4.5,-154,126
12/6/2024,F,Jayson Tatum,Celtics,vs,Bucks,4.5,-154,116
12/6/2024,G,Derrick White,Celtics,vs,Bucks,4.5,114,-152
12/6/2024,G,Coby White,Bulls,vs,Pacers,3.5,112,-140
12/6/2024,F,Jaylen Brown,Celtics,vs,Bucks,3.5,-138,104
12/6/2024,G,Andrew Nembhard,Pacers,@,Bulls,3.5,106,-130
12/6/2024,G,Brandin Podziemski,Warriors,vs,Timberwolves,3.5,-110,-110
12/6/2024,G,Collin Sexton,Jazz,@,Blazers,3.5,120,-148
12/6/2024,F,Pascal Siakam,Pacers,@,Bulls,3.5,-122,100
12/6/2024,G,Jalen Suggs,Magic,@,76ers,3.5,-138,104
12/6/2024,C,Nikola Vucevic,Bulls,vs,Pacers,3.5,-154,126
12/6/2024,G,Tyrese Maxey,76ers,vs,Magic,2.5,122,-162
12/7/2024,C,Nikola Jokic,Nuggets,@,Wizards,9.5,-130,102
12/7/2024,G,Cade Cunningham,Pistons,@,Knicks,8.5,100,-128
12/7/2024,G,Scottie Barnes,Raptors,vs,Mavericks,7.5,-118,-108
12/7/2024,G,Jalen Brunson,Knicks,vs,Pistons,7.5,-136,106
12/7/2024,G,Luka Doncic,Mavericks,@,Raptors,7.5,106,-136
12/7/2024,G,Ja Morant,Grizzlies,@,Celtics,7.5,-111,-115
12/7/2024,G,Darius Garland,Cavaliers,@,Hornets,6.5,-118,-104
12/7/2024,G,Shai Gilgeous-Alexander,Thunder,@,Pelicans,5.5,114,-146
12/7/2024,F,Josh Hart,Knicks,vs,Pistons,6.5,-160,124
12/7/2024,G,Tyus Jones,Suns,@,Heat,6.5,-113,-115
12/7/2024,G,Vasilije Micic,Hornets,vs,Cavaliers,5.5,116,-142
12/7/2024,G,Jamal Murray,Nuggets,@,Wizards,6.5,-140,110
12/7/2024,G,Dejounte Murray,Pelicans,vs,Thunder,5.5,100,-128
12/7/2024,F,RJ Barrett,Raptors,vs,Mavericks,4.5,116,-148
12/7/2024,G,Devin Booker,Suns,@,Heat,5.5,-132,104
12/7/2024,F,Brandon Ingram,Pelicans,vs,Thunder,4.5,124,-158
12/7/2024,G,Kyrie Irving,Mavericks,@,Raptors,4.5,126,-162
12/7/2024,G,Jordan Poole,Wizards,vs,Nuggets,5.5,-104,-122
12/7/2024,F,Jayson Tatum,Celtics,vs,Grizzlies,5.5,-166,130
12/7/2024,G,Derrick White,Celtics,vs,Grizzlies,4.5,112,-142
12/7/2024,C,Bam Adebayo,Heat,vs,Suns,4.5,100,-128
12/7/2024,G,Desmond Bane,Grizzlies,@,Celtics,3.5,122,-156
12/7/2024,F,Jaylen Brown,Celtics,vs,Grizzlies,3.5,120,-154
12/7/2024,F,Jimmy Butler,Heat,vs,Suns,4.5,104,-132
12/7/2024,G,Tyler Herro,Heat,vs,Suns,4.5,-108,-118
12/7/2024,G,Jrue Holiday,Celtics,vs,Grizzlies,4.5,-166,130
12/7/2024,G,Donovan Mitchell,Cavaliers,@,Hornets,3.5,128,-158
12/7/2024,F,Jalen Williams,Thunder,@,Pelicans,4.5,-118,-108
12/7/2024,F,Bradley Beal,Suns,@,Heat,3.5,-148,116
12/7/2024,G,Mikal Bridges,Knicks,vs,Pistons,3.5,-138,108
12/7/2024,F,Bilal Coulibaly,Wizards,vs,Nuggets,2.5,126,-162
12/7/2024,F,Aaron Gordon,Nuggets,@,Wizards,3.5,-108,-118
12/7/2024,C,Isaiah Hartenstein,Thunder,@,Pelicans,3.5,116,-148
12/7/2024,G,Jaden Ivey,Pistons,@,Knicks,3.5,-108,-118
12/7/2024,G,Cody Martin,Hornets,vs,Cavaliers,3.5,-150,122
12/7/2024,G,CJ McCollum,Pelicans,vs,Thunder,3.5,104,-132
12/7/2024,F,Brandon Miller,Hornets,vs,Cavaliers,3.5,-148,120
12/7/2024,C,Karl-Anthony Towns,Knicks,vs,Pistons,3.5,-162,126
12/8/2024,G,Trae Young,Hawks,vs,Nuggets,12.5,-113,-113
12/8/2024,G,Tyrese Haliburton,Pacers,vs,Hornets,8.5,-104,-122
12/8/2024,F,LeBron James,Lakers,vs,Blazers,9.5,-115,-108
12/8/2024,C,Nikola Jokic,Nuggets,@,Hawks,9.5,-150,118
12/8/2024,G,James Harden,Clippers,vs,Rockets,8.5,-146,114
12/8/2024,G,Ja Morant,Grizzlies,@,Wizards,8.5,-128,100
12/8/2024,G,Vasilije Micic,Hornets,@,Pacers,6.5,-102,-125
12/8/2024,G,Dejounte Murray,Pelicans,@,Spurs,6.5,-102,-125
12/8/2024,G,De'Aaron Fox,Kings,vs,Jazz,6.5,-156,122
12/8/2024,G,Darius Garland,Cavaliers,@,Heat,6.5,-132,104
12/8/2024,G,Damian Lillard,Bucks,@,Nets,6.5,-102,-128
12/8/2024,G,Dennis Schroder,Nets,vs,Bucks,6.5,-130,102
12/8/2024,F,Giannis Antetokounmpo,Bucks,@,Nets,5.5,-108,-118
12/8/2024,G,Devin Booker,Suns,@,Magic,5.5,-162,126
12/8/2024,G,Stephen Curry,Warriors,vs,Timberwolves,5.5,-106,-120
12/8/2024,F,Paul George,76ers,@,Bulls,5.5,-144,118
12/8/2024,G,Josh Giddey,Bulls,vs,76ers,5.5,108,-132
12/8/2024,F,Jalen Johnson,Hawks,vs,Nuggets,5.5,-130,102
12/8/2024,G,Tyus Jones,Suns,@,Magic,5.5,-102,-125
12/8/2024,G,Tyrese Maxey,76ers,@,Bulls,5.5,-128,104
12/8/2024,G,Malik Monk,Kings,vs,Jazz,5.5,-138,108
12/8/2024,G,Jordan Poole,Wizards,vs,Grizzlies,5.5,-122,-104
12/8/2024,C,Domantas Sabonis,Kings,vs,Jazz,5.5,-113,-113
12/8/2024,C,Alperen Sengun,Rockets,@,Clippers,5.5,-104,-122
12/8/2024,G,Anfernee Simons,Blazers,@,Lakers,5.5,-142,112
12/8/2024,G,Jalen Suggs,Magic,vs,Suns,5.5,-140,110
12/8/2024,C,Bam Adebayo,Heat,vs,Cavaliers,4.5,100,-128
12/8/2024,G,Desmond Bane,Grizzlies,@,Wizards,4.5,-160,124
12/8/2024,F,Jimmy Butler,Heat,vs,Cavaliers,4.5,-113,-113
12/8/2024,G,Mike Conley,Timberwolves,@,Warriors,4.5,-113,-113
12/8/2024,C,Anthony Davis,Lakers,vs,Blazers,3.5,124,-158
12/8/2024,F,Ayo Dosunmu,Bulls,vs,76ers,4.5,-118,-104
