DATE,POS,NAME,TEAM,H/A,OPP,FANDUEL_THREES_LINE,FANDUEL_THREESUNDER,FANDUEL_THREESOVER,ACTUAL,D_PPG,D_EFF,D_FL_%,D_FB_PPG,D_FB_EFF,D_2PTS,D_3PTS
12/6/2024,F,Jayson Tatum,Celtics,vs,Bucks,4.5,134,-180,TBD,,,,,,,
12/6/2024,G,Stephen Curry,Warriors,vs,Timberwolves,4.5,-138,108,TBD,,,,,,,
12/6/2024,G,Damian Lillard,Bucks,@,Celtics,4.5,-166,124,TBD,,,,,,,
12/6/2024,F,Franz Wagner,Magic,@,76ers,4.5,-138,104,TBD,,,,,,,
12/6/2024,F,Jaylen Brown,Celtics,vs,Bucks,3.5,-154,116,TBD,,,,,,,
12/6/2024,G,Anthony Edwards,Timberwolves,@,Warriors,3.5,-136,106,TBD,,,,,,,
12/6/2024,G,Tyrese Haliburton,Pacers,@,Bulls,3.5,-146,114,TBD,,,,,,,
12/6/2024,G,Dalton Knecht,Lakers,@,Hawks,3.5,-144,108,TBD,,,,,,,
12/6/2024,G,Anfernee Simons,Blazers,vs,Jazz,3.5,-150,118,TBD,,,,,,,
12/6/2024,G,Coby White,Bulls,vs,Pacers,2.5,114,-146,TBD,,,,,,,
12/6/2024,F,Julian Champagnie,Spurs,vs,Kings,2.5,-111,-115,TBD,,,,,,,
12/6/2024,G,Mike Conley,Timberwolves,@,Warriors,1.5,150,-194,TBD,,,,,,,
12/6/2024,G,De'Aaron Fox,Kings,@,Spurs,2.5,-188,146,TBD,,,,,,,
12/6/2024,G,Keyonte George,Jazz,@,Blazers,2.5,-132,104,TBD,,,,,,,
12/6/2024,F,Paul George,76ers,vs,Magic,2.5,-114,-114,TBD,,,,,,,
12/6/2024,F,LeBron James,Lakers,@,Hawks,2.5,-108,-122,TBD,,,,,,,
12/6/2024,F,Jalen Johnson,Hawks,vs,Lakers,2.5,-180,134,TBD,,,,,,,
12/6/2024,F,Zach LaVine,Bulls,vs,Pacers,2.5,-102,-125,TBD,,,,,,,
12/6/2024,F,Lauri Markkanen,Jazz,@,Blazers,2.5,-113,-113,TBD,,,,,,,
12/6/2024,G,Tyrese Maxey,76ers,vs,Magic,2.5,110,-146,TBD,,,,,,,
12/6/2024,G,Malik Monk,Kings,@,Spurs,2.5,-118,-108,TBD,,,,,,,
12/6/2024,G,Chris Paul,Spurs,vs,Kings,2.5,-172,134,TBD,,,,,,,
12/6/2024,G,Derrick White,Celtics,vs,Bucks,2.5,110,-146,TBD,,,,,,,
12/6/2024,G,Trae Young,Hawks,vs,Lakers,2.5,-172,128,TBD,,,,,,,
12/6/2024,F,Harrison Barnes,Spurs,vs,Kings,1.5,-115,-111,TBD,,,,,,,
12/6/2024,F,Toumani Camara,Blazers,vs,Jazz,1.5,-130,102,TBD,,,,,,,
12/6/2024,G,Stephon Castle,Spurs,vs,Kings,1.5,-115,-111,TBD,,,,,,,
12/6/2024,F,Ayo Dosunmu,Bulls,vs,Pacers,1.5,-164,128,TBD,,,,,,,
12/6/2024,F,Jerami Grant,Blazers,vs,Jazz,1.5,120,-154,TBD,,,,,,,
12/6/2024,F,Draymond Green,Warriors,vs,Timberwolves,1.5,-215,164,TBD,,,,,,,
12/6/2024,F,Rui Hachimura,Lakers,@,Hawks,1.5,-220,162,TBD,,,,,,,
12/6/2024,G,Jrue Holiday,Celtics,vs,Bucks,1.5,-140,106,TBD,,,,,,,
12/6/2024,C,Al Horford,Celtics,vs,Bucks,1.5,-122,-108,TBD,,,,,,,
12/6/2024,C,Brook Lopez,Bucks,@,Celtics,1.5,-172,128,TBD,,,,,,,
12/6/2024,F,Bennedict Mathurin,Pacers,@,Bulls,1.5,-132,104,TBD,,,,,,,
12/6/2024,F,Jaden McDaniels,Timberwolves,@,Warriors,1.5,-215,164,TBD,,,,,,,
